finishId,startId,finishText,vkId,isBest,avgVote,medVote
-1028,-100,скотч,8025376,0,3.5,2.0
-1027,-100,"на себе безногого бомжа Арсения, которого все дружно использовали для игры ""жертва социальной напряженности"".",546424498,0,2.6,2.0
-1026,-100,с собой герпес - командную игру для всех возрастов.,546424498,1,8.1,8.0
-1025,-100,"с собой настолки. Он снова забыл, что физрук - это он.",56109258,0,3.09091,3.0
-1024,-101,что стал плацкарт-комиком,54969569,0,5.63636,3.0
-1023,-99,"детей, и система образования в России стала идеальной",4497215,1,7.0,4.0
-1022,-99,чрезмерно коррумпированного учителя ОБЖ,4497215,0,5.33333,4.0
-1021,-99,"образовательную составляющую. Стало легче, ведь сумасшедшим жить легко",5197119,1,5.33333,4.0
-1020,-98,Собирал у детей деньги за отмену урока,56109258,0,4.0,3.0
-1019,-98,"никогда не будет пойман, потому что знает все запасные выходы",8025376,1,5.83333,6.5
-1018,-98,"заламывает руки тем, кто не сдал на кислород для противогаза",5197119,0,3.33333,3.0
-1017,-98,снимает противогаз с ребенка только после взятки.,5197119,0,3.0,3.0
-1016,-97,"У кого больше пасочка, тот и лидер",5197119,0,3.0,2.0
-1015,-97,По лайкам в инстаграме мамы,5197119,0,4.42857,3.0
-1014,-97,"Посмотри на того, кто с пустыми руками и орет на других",5197119,0,3.14286,2.0
-1013,-97,он разносит все куличики,4497215,0,2.14286,1.0
-1012,-97,все кроме него - жуют песок,4497215,0,2.42857,1.0
-1011,-97,его не видно,4497215,0,2.85714,1.0
-1010,-97,"сначала он ест песок, а потом уже все остальные",8025376,1,6.28571,5.0
-1009,-94,"застрял в твоей жопе, пидор",8025376,0,2.75,1.0
-1008,-94,"теперь колет не лед, а героин",8025376,0,2.75,1.0
-1007,-94,"простите, очень сложный зачин, не смогу придумать шутку(",8025376,0,1.0,1.0
-1006,-94,"Даааа, именно он мне запомнился в фильме «Основной инстинкт»",56109258,1,3.75,3.0
-1005,-94,я забыл отмыть и получил ремня от мамки,546424498,0,2.0,2.0
-1004,-94,разледил кол.,191586127,1,3.0,3.0
-1003,-95,". Видимо, он тоже подписан на Шуткобот",8025376,0,6.28571,4.0
-1002,-95,". Кажется, я приёмный...",191586127,0,5.0,4.0
-1001,-95,. Они оказались мужские. Вот оно что значит: «не то что в наше время...»,56109258,0,4.71429,4.0
-1000,-95,", а у мамы его мужские трусы. Посмотрела на аиста над кроватью и лёг спать.",56109258,0,5.14286,3.0
-999,-95,Мой дед такой растеряшка,54969569,0,6.42857,4.5
-998,-95,А отец у меня нет,54969569,1,7.42857,5.5
-997,-96,"И тех, и других можно найти на Pornhub",546424498,0,6.33333,6.5
-996,-96,Их удобно перевозить в грузовике,546424498,0,7.33333,8.0
-995,-96,"Они не сопротивляются, когда ты сверху",546424498,0,6.83333,6.5
-994,-96,Они оба раскладываются,5197119,0,4.16667,1.0
-993,-96,"Это такие же единые понятия, как ""ты"" и ""пидор""",8025376,0,4.16667,1.0
-992,-96,в основном они видят только жопы,8025376,1,8.5,10.5
-991,-96,На нем спит собака,54969569,0,3.16667,2.0
-990,-96,У обоих ножки короткие,18486664,1,9.4,9.0
-989,-96,Короткие ножки,54969569,0,8.0,5.5
-988,-93,", а герпес - от любовницы",8025376,1,4.66667,4.0
-987,-93,ты пидор,8025376,0,4.0,1.0
-986,-93,": ""я на что-то нажала, но ничего не случилось"". Как хорошо когда поставил систему защиты от детей",5197119,0,3.53333,3.0
-985,-93,", как гром среди ясного неба...если она рядом спит",5197119,0,3.13333,3.0
-984,-92,- в пятницу 13го в 13:13 выехать на работу к 9. Пьяным.,2204686,0,5.0,4.0
-983,-92,"- это если назвал кошку ""Примета"", а она все время гадит везде",2204686,0,4.0,4.0
-982,-92,"- случайно отправить добивку ""ты пидор"" вместо Шуткобота начальнику",2204686,0,5.08333,5.0
-981,-92,- лишать гаишника 13й зарплаты в нетрезвом состоянии,2204686,0,4.16667,3.0
-980,-92,- писать бывшей с телефона нынешней,2204686,0,6.25,6.5
-979,-92,", если падает нож на пол - придёт мужчина. Но сколько бы ножей не уронила Оля в пятничный вечер, так никто и не пришёл...",56109258,0,5.1,5.0
-978,-92,"увидеть светлячка, если ты работаешь в АЭС",34957710,1,6.58333,6.5
-977,-92,гладить хача против роста шерсти,34957710,1,6.5,8.0
-976,-91,", то крики родителей о тупом сыне станут на 50% тише",64627775,1,8.0,8.0
-975,-91,", то через некоторое время можно услышать голос психиатра",2204686,0,5.5,5.0
-974,-91,"на Красной площади, то можно услышать, как к тебе подойдёт сотрудник ФСО в штатском",2204686,0,3.875,3.0
-973,-91,"на Красной площади, то потом, возможно, придётся долго сидеть",2204686,0,5.42857,5.0
-972,-91,"в людном месте, то можно прослыть современным художником",2204686,0,5.0,5.0
