vkId,finishLimit
42849,4
54396,46
64372,5
121241,4
303937,3
657002,3
801809,3
867233,5
899868,11
1418920,3
1587729,3
1769776,2
1772022,3
2053953,29
2056580,2
2156235,3
2162827,3
2168846,3
2204686,238
2231449,4
2302131,2
2356750,3
2362611,3
2447828,4
2533780,3
2534766,2
2536342,3
2560007,3
2573282,10
2592901,3
2659941,3
2666547,4
2718684,3
2807526,2
2956340,3
3164461,3
3500391,3
3510794,2
3600052,2
3647552,5
4008216,8
4086807,3
4173820,6
4248867,4
4312587,4
4497215,6
4925792,3
5066423,3
5197119,23
5230058,2
5354550,3
5411324,3
5437957,3
5708650,1
5828621,14
6031057,1
6290260,1
6527210,2
6681591,2
6760849,3
7428481,3
7802838,1
7810952,3
7913325,3
8000044,3
8025376,187
8030063,3
8064167,3
8746451,3
9046009,6
9152416,4
9287326,4
9297256,3
9561959,3
9678647,4
9751803,6
9899696,6
10158602,3
10258102,3
11364675,2
11420264,30
11774016,2
11992854,3
12072331,3
12107319,3
12166481,4
12478924,3
12869859,3
12918599,4
12930283,5
13392853,3
13976582,4
14081362,3
14138505,4
14518499,3
15905350,3
16484850,3
16549921,5
16610469,3
16803795,3
16930812,5
17083612,3
17102928,2
17303803,1
17635997,3
17769358,3
18048224,6
18104492,9
18422820,5
18486664,17
18755990,2
18944347,3
19221305,2
19270611,3
19486444,3
20621887,3
20949659,4
21030963,3
21588471,3
22399916,3
22508859,4
22745352,3
22810311,3
23380423,3
23504528,18
23555478,3
23615553,3
24583437,3
25099320,7
26401991,3
26776843,3
26882526,3
27032281,3
27188617,3
27263359,3
27724822,4
28642372,3
30033860,36
30052644,3
30484438,3
30744935,3
31466566,4
31735523,3
31863091,3
31876625,3
32189787,7
33240554,9
33375779,4
33439727,2
34225208,3
34938080,3
34957710,16
35134521,4
36658943,4
36842362,3
37032377,3
37616966,4
38485871,3
40326021,4
40471983,2
40689732,2
41536809,3
43275067,4
43644471,3
44880040,2
45632673,3
45895887,3
46785623,2
46887585,2
47802670,3
48702018,4
49445589,3
49475158,2
49494900,3
50061035,3
50348901,13
50476876,2
51141337,3
51763044,3
52125840,3
52624372,3
53126440,3
53636711,3
54087696,3
54969569,7
56109258,6
56190692,3
58598079,12
59375035,13
59401294,4
60038497,5
60256852,1
62424204,2
62663953,3
63791646,4
64105079,3
64376082,3
64627775,4
65128054,3
65953378,3
67951530,5
68994700,5
69701354,3
70244806,2
70309108,4
70544650,3
71243155,3
71273987,3
72087662,3
72148538,2
72825806,3
74767945,3
75218290,4
75449515,3
75472995,3
75577859,2
75665004,3
75839545,6
75871088,3
76493343,4
76619583,3
77908785,1
78324232,3
79360572,1
80391772,5
80869211,4
80883237,3
81507933,2
82535745,3
83038778,3
83376915,3
83809757,5
83885784,8
84382202,3
86429429,3
86578108,3
87327535,4
87340218,4
87410797,3
90175491,3
91093371,3
92013142,1
92527100,2
92790957,4
93816762,3
94555898,6
94650623,3
95353242,1
97670899,2
97801751,4
98358035,3
98779688,3
100176384,2
101229847,4
101543944,3
101584794,4
101817831,3
101948008,3
102033395,3
102435446,3
103077894,3
103429982,3
105194586,3
105205798,3
105409798,16
105509396,3
105817586,3
106186933,4
106246534,2
107076911,3
110370567,3
113504338,4
114330168,4
115424764,4
115838139,3
117225054,4
